loan_amount,term,int_rate,installment,applicant,loan_length,home_ownership,annual_income,state
30000,"36 months",9.9999,99.9999,"Director of Technology and Ana","3 years",MORTGAGE,125000,IN
16000,"36 months",9.9999,99.9999,"Machine Repair","10+ years",MORTGAGE,90000,CT
2800,"36 months",9.9999,99.9999,"Union Journeyman Painter","8 years",MORTGAGE,78000,CA
15000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,50000,FL
10000,"36 months",9.9999,99.9999,"Social Worker","10+ years",RENT,85000,MD
2800,"36 months",9.9999,95.1100,"Program Manager","10+ years",RENT,67000,CA
10000,"36 months",8.1900,99.9999,"Chief People officer","6 years",MORTGAGE,270000,WI
35000,"60 months",9.9999,99.9999,"IT Manager","10+ years",MORTGAGE,120000,NC
10000,"36 months",8.1900,99.9999,"""",n/a,MORTGAGE,60000,LA
37200,"60 months",9.9999,99.9999,"Business Services Manager","5 years",RENT,54156,UT
5000,"36 months",8.1900,99.9999,"Sales rep","4 years",RENT,150000,CA
6025,"36 months",6.4600,99.9999,"Accounts Receivable","6 years",MORTGAGE,36480,MA
35000,"60 months",9.9999,99.9999,GM,"8 years",RENT,116000,TX
10000,"60 months",9.9999,99.9999,"Office Clerk","1 year",RENT,45000,WI
6450,"36 months",9.9999,99.9999,"Install Tech","2 years",RENT,32650,WY
20000,"60 months",8.1900,99.9999,"program manager","10+ years",MORTGAGE,50000,TN
21500,"36 months",6.4600,99.9999,"Produce/ floral specialist","10+ years",RENT,80000,NY
28000,"36 months",8.1900,99.9999,"""",n/a,MORTGAGE,70000,NY
15000,"60 months",9.9999,99.9999,Clerk,"10+ years",OWN,33748,WI
25000,"36 months",9.9999,99.9999,"Membership Sales Director","2 years",RENT,108000,AZ
30000,"60 months",9.9999,99.9999,Manager,"10+ years",RENT,172000,MA
25000,"36 months",9.9999,99.9999,""SVP"," Partnership Develop","1 year",0,cr
16000,"36 months",5.0000,99.9999,"Overnight Stocker","10+ years",MORTGAGE,35000,TX
33400,"36 months",9.9999,99.9999,""Senior Manager"," Delivery"","10+ years",0,de
16000,"36 months",9.9999,99.9999,"First Notice Adjuster II","4 years",OWN,41500,TX
16000,"60 months",9.9999,99.9999,EMS,"6 years",MORTGAGE,60000,KY
20000,"60 months",9.9999,99.9999,"Service Writer","3 years",RENT,85000,NJ
12000,"60 months",9.9999,99.9999,"Registered Nurse","6 years",MORTGAGE,60000,FL
20000,"36 months",9.9999,99.9999,"Chef de Partie","1 year",RENT,40000,AZ
1300,"36 months",9.9999,42.3900,"IT Engineer","1 year",RENT,45000,VA
2000,"36 months",9.9999,77.8400,Owner,"10+ years",OWN,45000,TX
40000,"60 months",8.1900,99.9999,"Senior Corporate Auditor","2 years",MORTGAGE,80000,NC
3000,"36 months",9.9999,99.9999,Manager,"10+ years",RENT,90000,VA
2000,"36 months",9.9999,67.9300,"Account Executive","10+ years",RENT,45999,TN
10000,"60 months",8.1900,99.9999,Analyst,"10+ years",MORTGAGE,65000,PA
30000,"60 months",8.1900,99.9999,"Data Science Team Leader","3 years",MORTGAGE,110500,WI
10000,"36 months",9.9999,99.9999,Secretary,"10+ years",MORTGAGE,42000,NC
14000,"36 months",5.0000,99.9999,"""",n/a,MORTGAGE,47000,PA
12000,"36 months",9.9999,99.9999,"Loan officer","2 years",OWN,48000,OR
17500,"36 months",5.0000,99.9999,"Probation & Parole Officer","10+ years",MORTGAGE,75000,AL
18000,"36 months",9.9999,99.9999,"Program Manager","5 years",RENT,53000,OH
10000,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,19000,AR
8000,"36 months",5.0000,99.9999,"""","< 1 year",OWN,40000,TX
4000,"36 months",9.9999,99.9999,"Data analyst","1 year",RENT,25000,KS
10000,"60 months",9.9999,99.9999,"Bodycare Managerial","2 years",RENT,32084,CO
20000,"36 months",9.9999,99.9999,"Director Chronic Disease Mange","7 years",MORTGAGE,90000,TX
10200,"36 months",9.9999,99.9999,"Park Superintendent","5 years",RENT,45755,DE
20000,"36 months",6.4600,99.9999,"Assistant Winemaker","9 years",MORTGAGE,65000,CA
15000,"36 months",5.0000,99.9999,"Metrology Engineer","1 year",MORTGAGE,85000,CA
9600,"36 months",9.9999,99.9999,"Medical biller","10+ years",RENT,60000,NY
7000,"36 months",9.9999,99.9999,"Warehouse and repacking.","10+ years",RENT,35000,FL
13500,"60 months",9.9999,99.9999,"Sr. District Manager","10+ years",RENT,180000,VA
5000,"36 months",7.5600,99.9999,"Product Manager","6 years",MORTGAGE,110000,HI
3000,"36 months",7.5600,93.4100,Ab,"10+ years",MORTGAGE,70000,IL
10000,"36 months",9.9999,99.9999,"Registered Nurse","3 years",RENT,39000,FL
21000,"36 months",9.9999,99.9999,"Truck driver","10+ years",MORTGAGE,101000,AZ
40000,"36 months",6.4600,99.9999,"""","< 1 year",MORTGAGE,250000,AZ
9600,"36 months",5.0000,99.9999,"OFFICE MANAGER","5 years",OWN,75000,CA
3000,"36 months",9.9999,98.6600,GS5,"3 years",RENT,36000,LA
36000,"60 months",9.9999,99.9999,"Project Coordinator","10+ years",MORTGAGE,200000,CA
7000,"36 months",9.9999,99.9999,"Communications Director","10+ years",MORTGAGE,130000,CO
30000,"60 months",9.9999,99.9999,"Loan Officer","< 1 year",MORTGAGE,103000,AZ
25000,"36 months",8.1900,99.9999,"Director Labor and Employee Re","3 years",RENT,245000,HI
23000,"60 months",8.1900,99.9999,"Vice President of Talent Acqui","3 years",MORTGAGE,150000,VA
11000,"36 months",9.9999,99.9999,"Property Manager","2 years",MORTGAGE,55000,MN
5000,"36 months",9.9999,99.9999,"Property Manager","< 1 year",MORTGAGE,41000,AZ
30000,"60 months",9.9999,99.9999,Broker/Manager,"10+ years",RENT,95000,NJ
5000,"36 months",9.9999,99.9999,"Sr. BA/Release Mgr.","10+ years",RENT,87000,UT
12000,"36 months",8.1900,99.9999,"Chemist - Advanced Research As","10+ years",RENT,215000,NJ
10000,"36 months",9.9999,99.9999,"Manufacturing assembler","< 1 year",RENT,32240,OH
12000,"60 months",9.9999,99.9999,"Nutrition assistant","2 years",OWN,50000,MO
3000,"36 months",9.9999,99.9999,CO-OWNER,"7 years",OWN,42000,MI
10450,"60 months",9.9999,99.9999,"""","< 1 year",RENT,35000,TX
23000,"60 months",8.1900,99.9999,OWNER,"10+ years",OWN,75000,FL
15500,"36 months",7.5600,99.9999,"Head meat cutter","10+ years",OWN,60000,MN
3000,"36 months",9.9999,99.9999,"Licensed Clinical Social Worke","5 years",MORTGAGE,83000,CA
12000,"36 months",9.9999,99.9999,LPN,"3 years",RENT,68000,MA
7000,"36 months",6.4600,99.9999,Manager,"8 years",ANY,50000,CA
40000,"36 months",9.9999,99.9999,"""",n/a,RENT,55000,CA
10000,"60 months",9.9999,99.9999,"L4 Cabler","2 years",MORTGAGE,72000,TN
5000,"36 months",9.9999,99.9999,"Sr. Regional Construction Mana","10+ years",MORTGAGE,136000,NY
1200,"36 months",9.9999,41.2900,Policeofficer,"5 years",MORTGAGE,80000,NY
4200,"36 months",6.4600,99.9999,Teacher,"10+ years",MORTGAGE,110000,MA
9000,"36 months",8.8100,99.9999,"mail handler","10+ years",RENT,195000,CA
11600,"36 months",9.9999,99.9999,"Fiscal Policy Analyst","6 years",MORTGAGE,53000,OK
8000,"36 months",9.9999,99.9999,"""","< 1 year",RENT,140000,OH
13500,"36 months",9.9999,99.9999,"Hospital Care Investigator","10+ years",RENT,48000,NY
20000,"60 months",9.9999,99.9999,"Human resources","10+ years",OWN,71000,NY
7200,"36 months",9.9999,99.9999,"Operations Supervisor","1 year",RENT,65000,NY
8000,"36 months",9.9999,99.9999,"Patient care tech","1 year",MORTGAGE,31000,IN
8500,"36 months",6.4600,99.9999,"Packaging machine operator","10+ years",RENT,54000,CT
12000,"36 months",9.9999,99.9999,PCA,"2 years",MORTGAGE,30000,MA
11000,"36 months",8.8100,99.9999,E7,"10+ years",MORTGAGE,112000,CA
30000,"36 months",9.9999,99.9999,Sales,"1 year",MORTGAGE,170000,AZ
40000,"60 months",9.9999,99.9999,"OPERATIONS MANAGER","8 years",MORTGAGE,61000,AL
30000,"60 months",9.9999,99.9999,Yardmaster,"10+ years",MORTGAGE,150000,KS
5000,"36 months",9.9999,99.9999,Officer,"1 year",RENT,80000,MN
4400,"36 months",9.9999,99.9999,"Floral manager","10+ years",RENT,43000,WA
4000,"36 months",9.9999,99.9999,"""",n/a,RENT,20000,TX
20000,"36 months",8.8100,99.9999,"In-House marketer","5 years",OWN,120000,HI
15000,"36 months",6.4600,99.9999,Professor,"10+ years",MORTGAGE,130000,CT
3000,"36 months",6.4600,91.9000,"IT Administration","4 years",OWN,20000,NY
21600,"60 months",9.9999,99.9999,"office supervisor","5 years",MORTGAGE,68000,FL
10000,"60 months",9.9999,99.9999,"Claims Adjuster","5 years",RENT,52000,CO
3000,"36 months",5.0000,92.6600,Stockman,"9 years",MORTGAGE,40000,CA
9650,"36 months",9.9999,99.9999,"""","2 years",MORTGAGE,27000,OK
40000,"60 months",9.9999,99.9999,"Manager Sales","8 years",MORTGAGE,130000,OH
16000,"36 months",7.5600,99.9999,"Desktop Engineer","1 year",RENT,65000,VA
15000,"36 months",9.9999,99.9999,"Security Officer","< 1 year",MORTGAGE,82000,OH
26000,"60 months",9.9999,99.9999,"PARTS MANAGER","10+ years",RENT,115000,TN
24000,"36 months",9.9999,99.9999,"Client Success Manager","10+ years",MORTGAGE,80000,GA
6000,"36 months",9.9999,99.9999,"Call center agent","< 1 year",RENT,23000,CA
26500,"60 months",9.9999,99.9999,"""",n/a,ANY,66000,CA
11000,"60 months",9.9999,99.9999,"forklift operator","10+ years",MORTGAGE,54000,CA
5200,"36 months",9.9999,99.9999,"Sr. Executive Assistant","10+ years",MORTGAGE,77000,WI
16000,"60 months",9.9999,99.9999,"HCR Driver","3 years",MORTGAGE,40000,ME
10000,"36 months",8.1900,99.9999,"Accts receivable","10+ years",MORTGAGE,65000,TN
20000,"36 months",9.9999,99.9999,"Program Manager","5 years",RENT,207332,TX
5000,"36 months",7.5600,99.9999,"Athletic coordinator","< 1 year",OWN,32000,FL
25000,"36 months",9.9999,99.9999,Plumber,"5 years",RENT,45000,TX
20000,"60 months",9.9999,99.9999,"Systems Programmer","5 years",MORTGAGE,59000,MS
5500,"36 months",9.9999,99.9999,Laborer,"8 years",MORTGAGE,36000,IN
23000,"36 months",9.9999,99.9999,"optimetric tech","7 years",RENT,28000,SC
7000,"36 months",6.4600,99.9999,"Procurement Analyst","1 year",MORTGAGE,97000,MN
35000,"36 months",9.9999,99.9999,"Ranch Manager","< 1 year",MORTGAGE,95000,CA
16000,"36 months",8.1900,99.9999,"Peer Specialist","2 years",MORTGAGE,42000,NY
16000,"60 months",9.9999,99.9999,Supervisor,"10+ years",MORTGAGE,130000,FL
4200,"36 months",9.9999,99.9999,"Sr Bridge Inspector","7 years",RENT,58000,VA
6000,"36 months",8.8100,99.9999,"Welding Technician","10+ years",RENT,63000,MD
5000,"36 months",8.1900,99.9999,"Chief Certified Operator","10+ years",OWN,48000,TN
10000,"36 months",9.9999,99.9999,"Pharmacy Technician","3 years",MORTGAGE,32000,KY
16000,"36 months",9.9999,99.9999,"Field Service Technician","1 year",MORTGAGE,70000,WI
16000,"60 months",9.9999,99.9999,Conductor,"10+ years",RENT,70000,NY
35000,"36 months",9.9999,99.9999,Veterinarian,"10+ years",OWN,165000,PA
10000,"36 months",9.9999,99.9999,"""",n/a,OWN,16080,KS
35000,"36 months",9.9999,99.9999,"""","< 1 year",OWN,150000,VA
14000,"60 months",9.9999,99.9999,"Communications Officer","7 years",MORTGAGE,72000,NC
15000,"60 months",8.1900,99.9999,"""","< 1 year",MORTGAGE,100000,WI
20000,"36 months",9.9999,99.9999,waiter,"8 years",RENT,64000,NY
12000,"60 months",9.9999,99.9999,"Supervising Communications Ele","10+ years",MORTGAGE,160000,NY
25000,"60 months",9.9999,99.9999,"IT Asset Management Analyst","3 years",MORTGAGE,135000,MD
3500,"36 months",9.9999,99.9999,"""","9 years",RENT,28500,TX
3600,"36 months",9.9999,99.9999,Developer,"3 years",MORTGAGE,142000,CA
40000,"36 months",7.5600,99.9999,"Trade Department Heads","10+ years",MORTGAGE,70000,CT
10000,"60 months",9.9999,99.9999,"bell man","10+ years",MORTGAGE,28000,FL
30000,"60 months",9.9999,99.9999,"QUALITY MANAGER","< 1 year",MORTGAGE,75000,NC
24000,"60 months",9.9999,99.9999,"""",n/a,OWN,23000,NY
15000,"60 months",9.9999,99.9999,Sales,"10+ years",MORTGAGE,65000,PA
40000,"60 months",9.9999,99.9999,"Registered Nurse","2 years",RENT,120000,NJ
30000,"60 months",9.9999,99.9999,"HVAC MECH Level 2","10+ years",OWN,75000,MI
40000,"60 months",9.9999,99.9999,Teacher,"10+ years",MORTGAGE,51000,NC
25000,"60 months",9.9999,99.9999,"service tech","10+ years",MORTGAGE,110000,PA
2000,"36 months",9.9999,69.3600,"civilian instructor","8 years",MORTGAGE,90000,OK
24000,"60 months",9.9999,99.9999,Sargeant,"3 years",OWN,60000,SC
25550,"60 months",9.9999,99.9999,"CVOR SURGICAL TECH","10+ years",RENT,165000,AZ
5000,"36 months",9.9999,99.9999,"Store manager","10+ years",RENT,55000,IL
10000,"36 months",9.9999,99.9999,Teacher,"2 years",OWN,45500,AZ
30000,"60 months",9.9999,99.9999,"ICU Unit Director","6 years",MORTGAGE,95000,PA
40000,"60 months",9.9999,99.9999,"Director of IT","2 years",RENT,90000,SC
20000,"36 months",9.9999,99.9999,Hairstylist,"< 1 year",MORTGAGE,160000,CO
10000,"36 months",6.4600,99.9999,"Program Coordinator","1 year",RENT,45000,CA
25000,"60 months",9.9999,99.9999,"""",n/a,MORTGAGE,45000,VA
30000,"60 months",9.9999,99.9999,"General Manager","9 years",MORTGAGE,125000,TX
40000,"60 months",9.9999,99.9999,President,"10+ years",MORTGAGE,136000,MD
40000,"60 months",9.9999,99.9999,""Manager Applications"," Enterprise Arch"","2 years",0,de
20000,"36 months",6.4600,99.9999,"""","< 1 year",RENT,100000,NY
11000,"36 months",9.9999,99.9999,Associate,"4 years",RENT,65000,NY
25000,"36 months",9.9999,99.9999,"The Owner","5 years",MORTGAGE,85000,FL
17000,"36 months",9.9999,99.9999,"Software Systems Engineer","3 years",RENT,90000,MI
10000,"36 months",5.0000,99.9999,"Facilities Supervisor","2 years",RENT,100000,FL
11200,"60 months",9.9999,99.9999,"respiratory therapist","10+ years",MORTGAGE,62000,VA
35000,"60 months",9.9999,99.9999,"""","< 1 year",RENT,100000,OH
11000,"36 months",8.1900,99.9999,"Escrow Assistant","2 years",RENT,43000,CO
3000,"36 months",9.9999,97.2700,"Facility mechanic","10+ years",MORTGAGE,55000,IL
28000,"36 months",8.1900,99.9999,"""","< 1 year",RENT,103000,CA
32500,"60 months",9.9999,99.9999,"Vice President","10+ years",MORTGAGE,660000,MD
15000,"36 months",9.9999,99.9999,"Accounting Clerk","10+ years",MORTGAGE,68000,MN
9000,"36 months",8.1900,99.9999,"Registered Nurse","10+ years",MORTGAGE,79000,RI
8750,"36 months",9.9999,99.9999,"Senior park maintenance worker","10+ years",RENT,51000,NV
40000,"60 months",9.9999,99.9999,"HR Director","7 years",OWN,165000,TN
7000,"36 months",9.9999,99.9999,"Content Specialist","2 years",RENT,35000,OR
24000,"36 months",9.9999,99.9999,"we developer","3 years",RENT,68000,CA
12000,"36 months",7.5600,99.9999,"Senior Program Director","10+ years",MORTGAGE,78000,NY
6000,"36 months",6.4600,99.9999,Professor,"5 years",RENT,45000,KY
5000,"36 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,75000,LA
28000,"60 months",9.9999,99.9999,"District Sales Representative","10+ years",MORTGAGE,118500,NY
40000,"36 months",6.4600,99.9999,"Aircraft Electrician","10+ years",MORTGAGE,75000,TX
3600,"36 months",9.9999,99.9999,"Eye Care Assistant","3 years",OWN,38500,MI
20000,"60 months",9.9999,99.9999,Instructor,"1 year",MORTGAGE,80000,NJ
5000,"36 months",9.9999,99.9999,Physician,"5 years",OWN,220000,FL
39000,"60 months",9.9999,99.9999,"Chief Channel Officer","4 years",RENT,240000,CO
5375,"36 months",9.9999,99.9999,Cashier,"10+ years",MORTGAGE,17800,AZ
24000,"60 months",8.1900,99.9999,Ironworker,"10+ years",MORTGAGE,100000,MN
10000,"36 months",9.9999,99.9999,"school psychologist","10+ years",MORTGAGE,130000,CO
10000,"36 months",8.1900,99.9999,"""",n/a,MORTGAGE,82000,IN
35000,"36 months",9.9999,99.9999,Controller,"5 years",MORTGAGE,130000,NC
32000,"36 months",8.8100,99.9999,"Director of Tennis","6 years",MORTGAGE,100000,KS
32000,"36 months",5.0000,99.9999,"independent contractor","7 years",RENT,85000,NJ
15500,"36 months",9.9999,99.9999,Teacher,"10+ years",OWN,66000,NY
10000,"36 months",8.8100,99.9999,"City Carrier Assistant","2 years",RENT,37000,CA
10000,"36 months",9.9999,99.9999,"Budget Analyst","9 years",MORTGAGE,80400,CO
35000,"36 months",9.9999,99.9999,Director,"5 years",RENT,1600000,NY
1500,"36 months",9.9999,52.8400,"Direct Care Professional","5 years",RENT,25000,NH
40000,"60 months",8.1900,99.9999,"""",n/a,MORTGAGE,78000,CA
15000,"60 months",9.9999,99.9999,Teacher,"10+ years",RENT,82000,RI
5500,"36 months",5.0000,99.9999,"Crew chief","3 years",RENT,21600,WA
12000,"60 months",9.9999,99.9999,"Store Team Leader","4 years",MORTGAGE,105000,CA
1000,"36 months",9.9999,33.1200,"Assistant Project Manager","1 year",RENT,48000,OH
30000,"36 months",9.9999,99.9999,"Project manager","4 years",MORTGAGE,160000,CA
1000,"36 months",9.9999,39.9400,"Store Manager","3 years",RENT,70000,CA
30000,"36 months",9.9999,99.9999,Paralegal,"3 years",MORTGAGE,96000,CA
20000,"60 months",9.9999,99.9999,"TACTOR DRIVER","10+ years",MORTGAGE,58000,PA
3500,"36 months",9.9999,99.9999,"Loan Officer","< 1 year",MORTGAGE,75000,TX
10000,"36 months",7.5600,99.9999,Paralegal,"2 years",MORTGAGE,45000,FL
10000,"36 months",9.9999,99.9999,"""",n/a,RENT,35000,NJ
20000,"60 months",9.9999,99.9999,Mailhandler,"10+ years",MORTGAGE,70000,MA
16000,"60 months",8.8100,99.9999,"Crew leder","4 years",MORTGAGE,70000,CA
35000,"60 months",9.9999,99.9999,"Claim Specialist","10+ years",RENT,80759,TX
10000,"36 months",6.4600,99.9999,"Account Manager","2 years",RENT,42500,TX
7000,"36 months",9.9999,99.9999,"Customer Service","10+ years",RENT,35000,MA
13125,"36 months",9.9999,99.9999,"ESTIMATOR / PROJECT MANAGER","8 years",RENT,11000,CA
5000,"36 months",9.9999,99.9999,"Vice President","1 year",MORTGAGE,75000,NJ
24000,"60 months",9.9999,99.9999,"Avionics Tech","9 years",MORTGAGE,85700,ND
5000,"36 months",9.9999,99.9999,Host,"1 year",RENT,15000,NY
5000,"36 months",9.9999,99.9999,"Security Officer","6 years",RENT,50000,NJ
22000,"60 months",9.9999,99.9999,"Senior Engineer","10+ years",MORTGAGE,125000,AR
2100,"36 months",9.9999,75.8900,Underwriter,"6 years",MORTGAGE,95000,TX
40000,"60 months",9.9999,99.9999,"Vendor Risk Management","5 years",RENT,172000,WA
13000,"36 months",5.0000,99.9999,Accountant,"2 years",MORTGAGE,70600,NC
11200,"36 months",9.9999,99.9999,"Project Manager","2 years",RENT,142500,NY
25000,"60 months",9.9999,99.9999,"""","< 1 year",OWN,160000,TX
12000,"60 months",9.9999,99.9999,"Bus Driver","6 years",RENT,35000,FL
20000,"36 months",5.0000,99.9999,Firefighter,"5 years",MORTGAGE,100000,WA
30000,"36 months",9.9999,99.9999,"Senior foster care supervisor","4 years",MORTGAGE,60000,IL
30000,"36 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,196000,NJ
12000,"60 months",9.9999,99.9999,"Hospitality Rep","2 years",RENT,225000,NV
8000,"36 months",9.9999,99.9999,Owner,"10+ years",MORTGAGE,100000,MD
20000,"60 months",9.9999,99.9999,"Assistant Director","6 years",MORTGAGE,60000,KY
11000,"60 months",9.9999,99.9999,"Property manager","3 years",RENT,45000,FL
8425,"36 months",9.9999,99.9999,"""",n/a,RENT,28000,NJ
5325,"36 months",9.9999,99.9999,"""","4 years",OWN,38000,CA
15000,"36 months",7.5600,99.9999,Driver,"2 years",MORTGAGE,80000,NC
30000,"60 months",9.9999,99.9999,"Test Tech","10+ years",MORTGAGE,200000,TX
16500,"60 months",9.9999,99.9999,"Auto tech","10+ years",OWN,70000,AL
2500,"36 months",9.9999,89.0200,"""","1 year",MORTGAGE,68000,FL
10000,"36 months",9.9999,99.9999,"commercial field supervisor","1 year",RENT,85000,CA
10000,"36 months",6.4600,99.9999,"Hazardous Materials Manager","6 years",MORTGAGE,70000,UT
40000,"60 months",8.1900,99.9999,"""",n/a,MORTGAGE,95158,TX
30000,"60 months",9.9999,99.9999,"VP / Loan Officer","10+ years",MORTGAGE,210000,SC
40000,"36 months",7.5600,99.9999,"""",n/a,OWN,104000,GA
27200,"60 months",8.1900,99.9999,"Financial Coordinator","10+ years",MORTGAGE,97250,IN
3600,"36 months",9.9999,99.9999,"""","6 years",RENT,20000,MI
40000,"60 months",9.9999,99.9999,"Integrity Assurance Analyst","2 years",MORTGAGE,65000,PA
14000,"60 months",9.9999,99.9999,"Public Works Administration","10+ years",MORTGAGE,56600,MD
30000,"60 months",9.9999,99.9999,E6,"10+ years",MORTGAGE,88000,HI
11000,"36 months",9.9999,99.9999,"Design Consultant","< 1 year",RENT,40000,NJ
35000,"60 months",9.9999,99.9999,"Bus Operator","10+ years",MORTGAGE,98000,NY
15000,"36 months",7.5600,99.9999,"Assistant Professor","< 1 year",MORTGAGE,128000,TX
24500,"36 months",5.0000,99.9999,"""",n/a,RENT,60000,CO
7200,"36 months",5.0000,99.9999,associate,"5 years",MORTGAGE,55000,TX
11200,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,125000,MO
40000,"60 months",8.8100,99.9999,"Police officer","10+ years",MORTGAGE,200000,NY
7200,"36 months",9.9999,99.9999,"clinical Informatics Nurse","10+ years",RENT,135000,CA
36000,"60 months",9.9999,99.9999,"""",n/a,MORTGAGE,65000,NJ
20000,"60 months",9.9999,99.9999,"Computer Network Specialist Ma","10+ years",MORTGAGE,70000,MD
17000,"60 months",9.9999,99.9999,"District manager","< 1 year",RENT,140000,CA
14000,"36 months",6.4600,99.9999,"""",n/a,MORTGAGE,40000,FL
18000,"36 months",8.1900,99.9999,"Director of Aftermarket Sales","< 1 year",RENT,140000,GA
20000,"60 months",9.9999,99.9999,"New Account Coordinator","2 years",RENT,50000,PA
9850,"36 months",6.4600,99.9999,"Administrative Assistant","9 years",RENT,53000,NY
30000,"60 months",9.9999,99.9999,Accounts,"10+ years",MORTGAGE,110000,AZ
7200,"36 months",9.9999,99.9999,"AB Seaman","1 year",MORTGAGE,60000,FL
10000,"36 months",9.9999,99.9999,"Deputy Construction Manager","10+ years",MORTGAGE,161989,NY
24000,"60 months",9.9999,99.9999,"Union Iron Worker","10+ years",MORTGAGE,85000,CT
6400,"36 months",9.9999,99.9999,"Network Administrator","10+ years",MORTGAGE,109000,CA
5000,"36 months",9.9999,99.9999,Carrier,"10+ years",MORTGAGE,75000,NY
8000,"36 months",9.9999,99.9999,pharmacist,"10+ years",MORTGAGE,136000,GA
8000,"36 months",9.9999,99.9999,"Production supervisor","1 year",MORTGAGE,65000,AL
16800,"36 months",9.9999,99.9999,Specialist,"10+ years",RENT,45000,NY
40000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,80000,WA
21000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,125000,CA
20000,"60 months",9.9999,99.9999,pastor,"10+ years",MORTGAGE,41000,VA
12000,"36 months",8.8100,99.9999,"Head Nurse","10+ years",RENT,37000,IL
22000,"60 months",8.1900,99.9999,Controller,"3 years",MORTGAGE,119700,NC
1500,"36 months",9.9999,51.6100,"C-17 Subject Matter Expert","1 year",MORTGAGE,160000,IL
4450,"36 months",9.9999,99.9999,"Diversity and Inclusion Manage","2 years",MORTGAGE,97540,MO
10000,"36 months",5.0000,99.9999,Accountant,"3 years",RENT,42000,OR
3000,"36 months",9.9999,99.9999,"""",n/a,RENT,45000,CO
20000,"36 months",9.9999,99.9999,Manager,"2 years",MORTGAGE,150000,OK
21000,"36 months",5.0000,99.9999,"Plans Deputy","10+ years",MORTGAGE,127000,TX
23000,"36 months",8.1900,99.9999,"Quality Manager","10+ years",OWN,52611,WI
7500,"36 months",6.4600,99.9999,"Information Technology Special","1 year",MORTGAGE,85000,VA
20000,"36 months",7.5600,99.9999,"Social Worker","10+ years",MORTGAGE,80000,MA
10000,"36 months",9.9999,99.9999,"Career Outreach Coordinator","5 years",RENT,41600,CA
15000,"60 months",9.9999,99.9999,"Resident Physician (PGY2)","2 years",MORTGAGE,56158,PA
12000,"60 months",9.9999,99.9999,"Site Manager","4 years",RENT,45000,TX
15000,"60 months",9.9999,99.9999,"Physician Recruiter","1 year",MORTGAGE,98000,GA
35050,"36 months",5.0000,99.9999,"""",n/a,MORTGAGE,100000,TN
35000,"36 months",9.9999,99.9999,"IT / IS Project Manager","1 year",RENT,84700,NJ
5000,"36 months",9.9999,99.9999,"Pharmacist District Manager","10+ years",RENT,177000,CA
20000,"36 months",9.9999,99.9999,"Service Engineer","3 years",RENT,90000,CA
20000,"60 months",9.9999,99.9999,Manager,"6 years",RENT,65000,NY
17075,"36 months",8.1900,99.9999,"Nursing Supervisor","8 years",OWN,88000,DE
30000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,35000,GA
9500,"36 months",9.9999,99.9999,"Service supervisor","2 years",OWN,65000,CA
24000,"60 months",9.9999,99.9999,"truck driver","5 years",MORTGAGE,79000,PA
10000,"36 months",6.4600,99.9999,Patrolman,"< 1 year",RENT,55000,WI
11000,"60 months",9.9999,99.9999,"General Manager","5 years",MORTGAGE,70000,IL
9600,"36 months",9.9999,99.9999,Machinist,"10+ years",MORTGAGE,50000,NY
10000,"36 months",9.9999,99.9999,"Office Technician","10+ years",RENT,45000,CA
25000,"60 months",9.9999,99.9999,"Acount Manager","2 years",RENT,94000,OR
28000,"60 months",9.9999,99.9999,"Speech Language Pathologist","10+ years",MORTGAGE,82000,AR
40000,"60 months",9.9999,99.9999,"Business Process Consultant","3 years",MORTGAGE,90000,MI
2400,"36 months",9.9999,81.5200,owner,"< 1 year",RENT,30000,AZ
12000,"36 months",8.1900,99.9999,"Sales Operations Director","9 years",RENT,160000,CA
25000,"36 months",8.1900,99.9999,"Sr Strategic Director of Sales","2 years",MORTGAGE,275000,CT
3500,"36 months",9.9999,99.9999,"TLE/ACC Service Manager","5 years",RENT,31000,PA
16000,"36 months",6.4600,99.9999,"Vice President","< 1 year",MORTGAGE,205000,NJ
24000,"60 months",8.1900,99.9999,Lineman,"10+ years",MORTGAGE,83000,IL
7500,"36 months",9.9999,99.9999,Machinists,"10+ years",OWN,85000,GA
14400,"60 months",9.9999,99.9999,"Medical Sonographer","9 years",MORTGAGE,105000,CT
40000,"36 months",6.4600,99.9999,Superintendent,"10+ years",MORTGAGE,135000,PA
1000,"36 months",9.9999,35.2300,"Escrow Assistant","5 years",RENT,64000,TX
40000,"60 months",8.1900,99.9999,"Sr Vice President","1 year",MORTGAGE,400000,MA
10000,"36 months",6.4600,99.9999,"Director of Finance","5 years",RENT,90000,CA
10000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,75000,CA
16000,"60 months",9.9999,99.9999,"Internal Affairs Investigator","3 years",MORTGAGE,79019,WA
19000,"36 months",9.9999,99.9999,"Assistant Superintendent","2 years",MORTGAGE,98000,AL
